Name;Este;Norte
Peredo;-79,75891817;-6,758048613
Peredo;-79,75803977;-6,758371957
Peredo;-79,75799506;-6,758405954
San Salvador II;-79,7631669;-6,740558823
San Salvador II;-79,76311722;-6,740564679
San Salvador II;-79,76293831;-6,74055944
San Salvador II;-79,76284315;-6,740563985
San Salvador II;-79,76279407;-6,740565655
San Salvador II;-79,76274602;-6,740577497
San Salvador II;-79,76268252;-6,740606051
San Salvador II;-79,76253152;-6,740684634
San Salvador II;-79,76205793;-6,74094713
San Salvador II;-79,76154729;-6,7412102
San Salvador II;-79,76131721;-6,741325673
San Salvador II;-79,76122618;-6,741351763
San Salvador II;-79,76104419;-6,741383606
San Salvador II;-79,76087898;-6,741402329
San Salvador II;-79,76067653;-6,74145051
San Salvador II;-79,76057235;-6,741474295
San Salvador II;-79,76048091;-6,741528418
San Salvador II;-79,76044635;-6,741564427
San Salvador II;-79,76039763;-6,74162151
San Salvador II;-79,76036193;-6,741658841
San Salvador II;-79,76031313;-6,741687776
San Salvador II;-79,76024439;-6,741716369
San Salvador II;-79,76019006;-6,741744625
San Salvador II;-79,76010195;-6,741781063
San Salvador II;-79,75976584;-6,741890684
San Salvador II;-79,75959996;-6,741966925
San Salvador II;-79,75966167;-6,742069515
San Salvador II;-79,75980344;-6,742781581
San Salvador II;-79,75990923;-6,743312936
San Salvador II;-79,76007966;-6,744168989
San Salvador II;-79,76045545;-6,746056426
San Salvador II;-79,76053629;-6,746460474
San Salvador II;-79,760851;-6,74803324
San Salvador II;-79,76133136;-6,750433893
San Salvador II;-79,76143574;-6,750539348
San Salvador II;-79,76146294;-6,750736823
San Salvador II;-79,76154632;-6,751352194
San Salvador II;-79,7615783;-6,75158829
San Salvador II;-79,76157863;-6,751590711
San Salvador II;-79,76157866;-6,751590919
San Salvador II;-79,76160638;-6,751588153
San Salvador II;-79,76164115;-6,751584684
San Salvador II;-79,76196812;-6,751552064
San Salvador II;-79,76286655;-6,75146243
San Salvador II;-79,76374487;-6,75138142
San Salvador II;-79,76374684;-6,751381238
San Salvador II;-79,76443089;-6,751318145
San Salvador II;-79,76478757;-6,751285631
San Salvador II;-79,76493869;-6,751274859
San Salvador II;-79,76506024;-6,751274846
San Salvador II;-79,7653692;-6,751282611
San Salvador II;-79,7659696;-6,7512977
San Salvador II;-79,76602965;-6,751293634
San Salvador II;-79,76607739;-6,751301592
San Salvador II;-79,76613223;-6,751327891
San Salvador II;-79,76647252;-6,75159852
San Salvador II;-79,76651182;-6,751619656
San Salvador II;-79,76655405;-6,75163536
San Salvador II;-79,7666187;-6,751649212
San Salvador II;-79,76679738;-6,75163302
San Salvador II;-79,76679756;-6,751633004
San Salvador II;-79,76686015;-6,751627333
San Salvador II;-79,76688462;-6,751625116
