Textbox72,Textbox36,Textbox7,UTC_DateTime,EventName,Textbox3,Textbox5,Altitude,Address2
Unit: ACZ-912,Level (Gals),Change,5/09/2025 20:25,Fuel Dropping,"150,69","58,81","-91,88","South America, a, a Lima LIM"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 20:28,Fuel Raising,"58,81","87,99","29,18","Morales Duarez 2828, Distrito de Lima , Peru Lima Departamen 15081"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 20:31,Fuel Dropping,"87,99","54,19","-33,80","Av Morales Duarez, Lima (cercado), Lima, Lima [Province] Lma"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 20:37,Fuel Raising,"55,11","148,26","93,15","Av Republica Argentina, Carmen De La Legua, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 20:40,Fuel Dropping,"148,26","87,87","-60,39","Av Republica Argentina, Carmen De La Legua, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 20:43,Fuel Dropping,"87,87","55,97","-31,89","Av Republica Argentina, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 20:49,Fuel Raising,"54,33","119,42","65,09","Av Republica Argentina-29, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 20:52,Fuel Dropping,"119,42","53,48","-65,95","Av Republica Argentina, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 21:07,Fuel Raising,"52,17","59,76","7,59","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 21:10,Fuel Dropping,"59,76","52,39","-7,37","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 21:13,Fuel Raising,"52,39","102,70","50,31","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 21:16,Fuel Raising,"102,70","147,17","44,47","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 21:19,Fuel Dropping,"147,17","80,98","-66,20","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 21:22,Fuel Raising,"80,98","94,81","13,83","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 21:25,Fuel Dropping,"94,81","52,13","-42,68","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 21:28,Fuel Raising,"52,13","60,65","8,52","Av Centenario-77, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 21:33,Fuel Raising,"60,65","72,25","11,60","Av Centenario-62, lao, lao, lao Cal"
