,Created,Message,Status
7801,2025-06-03 19:27:43.815,"11000001,5,4764434670,1,1,1,4,7793,1748978863,1748978863,11.0017821,-74.7856676,0,22,12,4,00000000,101,-51,11110010,48,OFF,1101000,00000000,0,5,36,fs:3:0x06393E020632770C73C7B5310206393E020632770C7BC7C3310206393E020632780C83C7|",0x83054764434670010101041E71683F4CAF683F4CAF068EBD1DD36C9CDC0000000000000016000C04000065FFCD4F3016000005002406393E020632770C73C7B5310206393E020632770C7BC7C3310206393E020632780C83C7
7802,2025-06-03 19:27:52.013,"11000001,5,4764434670,1,1,1,4,7794,1748978871,1748978871,11.001815,-74.7857131,0,63,12,4,00000000,101,-51,11110010,48,OFF,1101000,00000000,0,5,36,fs:3:0xB6310206393E020632780C8AC704310206393E020632790C91C744310206393E02063279|",0x83054764434670010101041E72683F4CB7683F4CB7068EBE66D36C9B15000000000000003F000C04000065FFCD4F30160000050024B6310206393E020632780C8AC704310206393E020632790C91C744310206393E02063279
7803,2025-06-03 19:27:58.492,"11000001,5,4764434670,1,1,1,4,7795,1748978877,1748978877,11.0018861,-74.7858273,0,138,315,4,00100000,101,-51,11110010,48,OFF,1101000,00000000,0,5,36,fs:3:0x0C99C732310206393E0206327A0CA0C725310206393E0206327A0CA7C74B31FF41EC3EFF|",0x83054764434670010101041E73683F4CBD683F4CBD068EC12DD36C969F000000000000008A013B04040065FFCD4F301600000500240C99C732310206393E0206327A0CA0C725310206393E0206327A0CA7C74B31FF41EC3EFF
7804,2025-06-03 19:27:58.961,"11000001,5,4764434670,1,1,1,4,7796,1748978878,1748978877,11.0018861,-74.7858273,0,138,315,4,00100000,101,-51,11110010,48,OFF,1101000,00000000,0,5,36,fs:3:0x411705003F3203015525009796000002000399AA31024D5F3E024D0783310260813E0260|",0x83054764434670010101041E74683F4CBE683F4CBD068EC12DD36C969F000000000000008A013B04040065FFCD4F30160000050024411705003F3203015525009796000002000399AA31024D5F3E024D0783310260813E0260
7805,2025-06-03 19:28:02.862,"11000001,5,4764434670,1,1,1,4,7797,1748978882,1748978882,11.0019221,-74.7858485,0,119,315,3,00101000,101,-51,11110010,32,OFF,1101000,00000000,0,5,36,fs:3:0x00022B2185DA0008DE3102701C310206393E0206327B0CB3C713310206393E0206327B0C|",0x83054764434670010101041E75683F4CC2683F4CC2068EC295D36C95CB0000000000000077013B03140065FFCD4F2016000005002400022B2185DA0008DE3102701C310206393E0206327B0CB3C713310206393E0206327B0C
7806,2025-06-03 19:28:11.052,"11000001,5,4764434670,1,1,1,4,7798,1748978890,1748978890,11.0016891,-74.7861446,0,161,242,4,00000000,101,-53,11110010,32,OFF,1101000,00000000,0,5,36,fs:3:0xBBC765310206393E0206327C0CC2C7E7310206393E0206327C0CC9C7C4310206393E0206|",0x83054764434670010101041E76683F4CCA683F4CCA068EB97BD36C8A3A00000000000000A100F204000065FFCB4F20160000050024BBC765310206393E0206327C0CC2C7E7310206393E0206327C0CC9C7C4310206393E0206
7807,2025-06-03 19:28:18.492,"11000001,5,4764434670,1,1,1,4,7799,1748978897,1748978897,11.0015866,-74.7863133,33,233,250,4,00000000,101,-53,11110010,31,OFF,1101000,00000000,0,5,36,fs:3:0x327D0CD1C7D1310206393E0206327D0CD8C763318306393E0206327E0CE0C7B031020639|",0x83054764434670010101041E77683F4CD1683F4CD1068EB57AD36C83A300000021000000E900FA04000065FFCB4F1F160000050024327D0CD1C7D1310206393E0206327D0CD8C763318306393E0206327E0CE0C7B031020639
7808,2025-06-03 19:28:26.012,"11000001,5,4764434670,1,1,1,4,7800,1748978905,1748978899,11.0015678,-74.7863818,98,275,254,3,00101000,101,-51,11110010,31,OFF,1101000,00000000,0,5,36,fs:3:0x3E0206327E0CE7C7DE310206393E0206327E0CEEC76C310287393E0206327F0CF6C77931|",0x83054764434670010101041E78683F4CD9683F4CD3068EB4BED36C80F6000000620000011300FE03140065FFCD4F1F1600000500243E0206327E0CE7C7DE310206393E0206327E0CEEC76C310287393E0206327F0CF6C77931
7809,2025-06-03 19:28:31.074,"11000001,5,4764434670,1,1,1,4,7801,1748978910,1748978899,11.0015678,-74.7863818,98,275,254,3,00101000,101,-51,11110010,31,OFF,1101000,00000000,0,5,36,fs:3:0x0206393E0206327F0CFDC75A310206393E020632800C04C8DB310206393E020632800C0B|",0x83054764434670010101041E79683F4CDE683F4CD3068EB4BED36C80F6000000620000011300FE03140065FFCD4F1F1600000500240206393E0206327F0CFDC75A310206393E020632800C04C8DB310206393E020632800C0B
7810,2025-06-03 19:28:38.492,"11000001,5,4764434670,1,1,1,4,7802,1748978917,1748978916,11.0014223,-74.7862078,2019,130,67,4,00100000,101,-51,11110010,31,OFF,1101000,00000000,0,5,36,fs:3:0xC8C3310206393E020632810C12C812310206393E020632810C19C831310206393E020632|",0x83054764434670010101041E7A683F4CE5683F4CE4068EAF0FD36C87C2000007E300000082004304040065FFCD4F1F160000050024C8C3310206393E020632810C12C812310206393E020632810C19C831310206393E020632
7811,2025-06-03 19:28:46.011,"11000001,5,4764434670,1,1,1,4,7803,1748978925,1748978925,11.0014666,-74.7861935,2113,66,67,4,00000000,101,-51,11110010,31,OFF,1101000,00000000,0,5,36,fs:3:0x820C21C8E2310206393E020632820C28C850310206393E020632820C2FC83E310206393E|",0x83054764434670010101041E7B683F4CED683F4CED068EB0CAD36C88510000084100000042004304000065FFCD4F1F160000050024820C21C8E2310206393E020632820C28C850310206393E020632820C2FC83E310206393E
7812,2025-06-03 19:28:53.534,"11000001,5,4764434670,1,1,1,4,7804,1748978932,1748978932,11.0015316,-74.7862986,2522,77,67,3,00001000,101,-51,11110010,32,OFF,1101000,00000000,0,5,36,fs:3:0x020632830C36C8EF310206393E020632830C3DC8CC310206393E020632840C45C88A3102|",0x83054764434670010101041E7C683F4CF4683F4CF4068EB354D36C8436000009DA0000004D004303100065FFCD4F20160000050024020632830C36C8EF310206393E020632830C3DC8CC310206393E020632840C45C88A3102
7813,2025-06-03 19:28:57.845,"11000001,5,4764434670,1,1,1,4,7805,1748978937,1748978936,11.0015643,-74.7863415,2798,127,67,4,00100000,101,-51,11110010,31,OFF,1101000,00000000,0,5,36,fs:3:0x06393E020632840C4CC838310206393E020632850C53C843310206393E020632850C5AC8|",0x83054764434670010101041E7D683F4CF9683F4CF8068EB49BD36C828900000AEE0000007F004304040065FFCD4F1F16000005002406393E020632840C4CC838310206393E020632850C53C843310206393E020632850C5AC8
7814,2025-06-03 19:29:06.011,"11000001,5,4764434670,1,1,1,4,7806,1748978945,1748978945,11.0013771,-74.7865391,2685,325,197,4,00100000,101,-53,11110010,36,OFF,0101000,00000000,0,5,36,fs:3:0xF1310206393E020632860C61C877310206393E020632860C68C8C5310206393E02063286|",0x83054764434670010101041E7E683F4D01683F4D01068EAD4BD36C7AD100000A7D0000014500C504040065FFCB4F24140000050024F1310206393E020632860C61C877310206393E020632860C68C8C5310206393E02063286
7816,2025-06-03 19:29:13.515,"11000001,5,4764434670,1,1,1,4,7808,1748978952,1748978952,11.0013408,-74.7864858,3007,61,197,4,00101000,101,-53,11110010,21,OFF,1101000,00000000,0,5,36,fs:3:0x0C6FC8AB310206393E020632870C76C87A310206393E020632870C7DC859310206393E02|",0x83054764434670010101041E80683F4D08683F4D08068EABE0D36C7CE600000BBF0000003D00C504140065FFCB4F151600000500240C6FC8AB310206393E020632870C76C87A310206393E020632870C7DC859310206393E02
