"Unit","Driver","Event","Lat / Long","Date / Time","Speed","Address"
"PM-03","","Driving","-12.027290 / -77.108170","Monday, September 29 2025, 04:21:46 am","12 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.026739 / -77.106918","Monday, September 29 2025, 04:21:03 am","13 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.025570 / -77.107109","Monday, September 29 2025, 04:20:35 am","17 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.025325 / -77.107086","Monday, September 29 2025, 04:20:29 am","12 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.025212 / -77.106728","Monday, September 29 2025, 04:20:19 am","13 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.027865 / -77.105637","Monday, September 29 2025, 04:18:32 am","18 KPH","TRANSPORTE BAEZ, Aeropuerto, Ventanilla 07031, Peru"
"PM-03","","Driving","-12.028159 / -77.105606","Monday, September 29 2025, 04:18:24 am","13 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.028639 / -77.106461","Monday, September 29 2025, 04:17:52 am","13 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.029068 / -77.106361","Monday, September 29 2025, 04:17:34 am","12 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.029810 / -77.107635","Monday, September 29 2025, 04:16:35 am","12 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.030046 / -77.107559","Monday, September 29 2025, 04:16:27 am","15 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.031821 / -77.106819","Monday, September 29 2025, 04:15:26 am","18 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.033726 / -77.105888","Monday, September 29 2025, 04:14:27 am","12 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.036105 / -77.104691","Monday, September 29 2025, 04:13:27 am","18 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.038400 / -77.103630","Monday, September 29 2025, 04:12:23 am","20 KPH","Brisas, Callao 07031, Peru"
"PM-03","","Driving","-12.040099 / -77.103432","Monday, September 29 2025, 04:11:50 am","20 KPH","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.040437 / -77.104469","Monday, September 29 2025, 04:11:27 am","18 KPH","PE-20B, Callao 07026, Peru"
"PM-03","","Driving","-12.039914 / -77.107483","Monday, September 29 2025, 04:10:23 am","21 KPH","Nuevo Ingreso Aeropuerto, Callao 07031, Peru"
"PM-03","","Driving","-12.037492 / -77.108932","Monday, September 29 2025, 04:09:27 am","20 KPH","Vía Sin Nombre, Callao 07031, Peru"
