Reporte Selectivo de Eventos;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;Desde:;;1/06/2025 12:00:00 a. m.;;;Hasta:;;10/06/2025 11:59:59 p. m.;;;;
;;;;;;;;;;;;;;
Unidad: LZM117;;;;;;;;;;;;;;
Fecha;Hora;Evento;;Status;;Dirección;;;;;Estado;;CP;
5/06/2025;08:38:26 AM;Desplazándose - Ign. apagada;;13 kph / W;;Cl6b 81b-69, Bogota, Cundinamarca;;;;;Cun;;;
5/06/2025;11:55:20 AM;Desplazándose - Ign. apagada;;10 kph / SE;;Cl6b 81b-65, Bogota, Cundinamarca;;;;;Cun;;;
5/06/2025;11:55:25 AM;Desplazándose - Ign. apagada;;11 kph / W;;Cl6b 81b-65, Bogota, Cundinamarca;;;;;Cun;;;
6/06/2025;01:50:06 PM;Desplazándose - Ign. apagada;;10 kph / SE;;Cl6b 81b-65, Bogota, Cundinamarca;;;;;Cun;;;
6/06/2025;02:13:23 PM;Desplazándose - Ign. apagada;;11 kph / E;;Cl6b 81b-65, Bogota, Cundinamarca;;;;;Cun;;;
6/06/2025;03:15:41 PM;Desplazándose - Ign. apagada;;11 kph / E;;Cl6b 81b-85, Bogota, Cundinamarca, Colombia;;;;;;;;
6/06/2025;07:16:54 PM;Desplazándose - Ign. apagada;;18 kph / SE;;Cl6b 81b-61, Bogota, Cundinamarca;;;;;Cun;;;
6/06/2025;07:17:17 PM;Desplazándose - Ign. apagada;;10 kph / NW;;Cl6b 81b-65, Bogota, Cundinamarca;;;;;Cun;;;
8/06/2025;08:06:00 AM;Desplazándose - Ign. apagada;;14 kph / E;;Cl6b 81b-69, Bogota, Cundinamarca;;;;;Cun;;;
9/06/2025;08:08:47 AM;Desplazándose - Ign. apagada;;16 kph / SE;;Cl6b 81b-65, Bogota, Cundinamarca;;;;;Cun;;;
10/06/2025;05:41:49 AM;Desplazándose - Ign. apagada;;10 kph / E;;Cl6b 81b-58, Bogota, Cundinamarca;;;;;Cun;;;
10/06/2025;07:34:06 AM;Desplazándose - Ign. apagada;;11 kph / NW;;Cl6b 81b-69, Bogota, Cundinamarca;;;;;Cun;;;
10/06/2025;07:57:30 AM;Desplazándose - Ign. apagada;;11 kph / SE;;Cl6b 81b-54, Bogota, Cundinamarca;;;;;Cun;;;
** Fin de esta Unidad;;;;;;;;;;;;;;
Unidad: NUV009;;;;;;;;;;;;;;
Fecha;Hora;Evento;;Status;;Dirección;;;;;Estado;;CP;
1/06/2025;00:07:26 AM;Desplazándose - Ign. apagada;;23 kph / NW;;Cl26-70, Bogota, Cundinamarca, Colombia;;;;;;;;
1/06/2025;00:07:30 AM;Desplazándose - Ign. apagada;;23 kph / NW;;Puente Salidas Nacionales Este Internacionales, Bogotá, Bogotá, Colombia;;;;;Bogotá;;110911;
1/06/2025;00:17:44 AM;Desplazándose - Ign. apagada;;23 kph / NW;;Puente Salidas Nacionales Este Internacionales, Bogotá, Bogotá, Colombia;;;;;Bogotá;;110911;
1/06/2025;00:17:56 AM;Desplazándose - Ign. apagada;;74 kph / SE;;Cl26-9, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;00:27:44 AM;Desplazándose - Ign. apagada;;74 kph / SE;;Cl26-9, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;00:27:55 AM;Desplazándose - Ign. apagada;;18 kph / SW;;Av Boyaca-41, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;00:28:13 AM;Desplazándose - Ign. apagada;;51 kph / S;;Av Boyaca-37, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;00:28:15 AM;Desplazándose - Ign. apagada;;55 kph / S;;Av Boyaca-58, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;00:38:36 AM;Desplazándose - Ign. apagada;;55 kph / S;;Av Boyaca-58, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;00:38:51 AM;Desplazándose - Ign. apagada;;26 kph / S;;Kr67 68s-96, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;00:46:55 AM;Desplazándose - Ign. apagada;;26 kph / S;;Kr67 68s-96, Bogota, Cundinamarca;;;;;Cun;;;
