GroupName,UnitName,StartTime,MovingTimeSecs,MilesDriven,MaxSpeed,StopTime,textbox43,StopLengthSecs,ContactName,textbox28,textbox29,textbox30,textbox32,MovingTimeSecs_1,MilesDriven_1,MaxSpeed_1,StopLengthSecs_1
,Unidad: LUL144,3/12/2025 4:46 p.m.,00h:05m:00s,"4,09",32,3/12/2025 4:51:4.m.,Ralenti,00h:01m:00s,"Av 50-96, Bogota, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 4:52 p.m.,00h:01m:00s,"0,32",23,3/12/2025 4:53:4.m.,Ralenti,00h:01m:00s,"Av 50-7, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 4:54 p.m.,00h:45m:00s,"27,07",42,3/12/2025 5:39:4.m.,Ralenti,00h:03m:00s,"La Vega-El Rosal, La Vega, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 5:42 p.m.,01h:40m:46s,"52,42",37,3/12/2025 7:23:3.m.,Ralenti,00h:00m:24s,"Km 56 de la vía Honda - Villeta, , Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 7:23 p.m.,00h:03m:07s,"0,93",11,3/12/2025 7:27:0.m.,Ralenti,00h:00m:09s,"Km 55 de la vía Honda - Villeta, , Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 7:27 p.m.,00h:12m:34s,"3,81",14,3/12/2025 7:39:4.m.,Ralenti,00h:02m:56s,"Km 51 de la vía Honda - Villeta, , Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 7:42 p.m.,00h:43m:41s,"18,81",21,3/12/2025 8:26:2.m.,Ralenti,00h:00m:20s,"Av 50-26, Guaduas, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 8:26 p.m.,00h:02m:03s,"0,58",9,3/12/2025 8:28:4.m.,Ralenti,00h:01m:00s,"Cl2 10-59, Guaduas, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 8:29 p.m.,00h:05m:00s,"1,85",17,3/12/2025 8:34:4.m.,Ralenti,00h:00m:34s,"Cl19 19-53, Guaduas, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 8:35 p.m.,00h:24m:26s,"13,89",30,3/12/2025 8:59:4.m.,Ralenti,00h:00m:35s,"Guaduas - Caparrapí, Guaduas, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
